ticker,relative_path,rows,start_date,end_date,include
LOFC.N0000,has_data/LOFC.N0000.json,2344,2016-01-03,2025-12-30,yes
RCL.N0000,has_data/RCL.N0000.json,2340,2016-01-03,2025-12-30,yes
LGL.N0000,has_data/LGL.N0000.json,2338,2016-01-03,2025-12-30,yes
MBSL.N0000,has_data/MBSL.N0000.json,2338,2016-01-03,2025-12-30,yes
SDB.N0000,has_data/SDB.N0000.json,2338,2016-01-03,2025-12-30,yes
LOLC.N0000,has_data/LOLC.N0000.json,2336,2016-01-03,2025-12-30,yes
LDEV.N0000,has_data/LDEV.N0000.json,2334,2016-01-03,2025-12-30,yes
NTB.N0000,has_data/NTB.N0000.json,2334,2016-01-03,2025-12-30,yes
HAYL.N0000,has_data/HAYL.N0000.json,2333,2016-01-03,2025-12-30,yes
BFL.N0000,has_data/BFL.N0000.json,2328,2016-01-03,2025-12-30,yes
HVA.N0000,has_data/HVA.N0000.json,2326,2016-01-03,2025-12-30,yes
SFIN.N0000,has_data/SFIN.N0000.json,2325,2016-01-03,2025-12-30,yes
ABL.N0000,has_data/ABL.N0000.json,2322,2016-01-03,2025-12-30,yes
CFIN.N0000,has_data/CFIN.N0000.json,2321,2016-01-03,2025-12-30,yes
AAIC.N0000,has_data/AAIC.N0000.json,2319,2016-01-03,2025-12-30,yes
CIND.N0000,has_data/CIND.N0000.json,2318,2016-01-03,2025-12-30,yes
HHL.N0000,has_data/HHL.N0000.json,2317,2016-01-03,2025-12-30,yes
PINS.N0000,has_data/PINS.N0000.json,2316,2016-01-11,2025-12-30,yes
LWL.N0000,has_data/LWL.N0000.json,2314,2016-01-03,2025-12-30,yes
ACL.N0000,has_data/ACL.N0000.json,2313,2016-01-03,2025-12-30,yes
ASIY.N0000,has_data/ASIY.N0000.json,2313,2016-01-03,2025-12-30,yes
REEF.N0000,has_data/REEF.N0000.json,2313,2016-01-03,2025-12-30,yes
KOTA.N0000,has_data/KOTA.N0000.json,2310,2016-01-03,2025-12-30,yes
HEXP.N0000,has_data/HEXP.N0000.json,2309,2016-01-03,2025-12-30,yes
LGL.X0000,has_data/LGL.X0000.json,2309,2016-01-03,2025-12-30,yes
LFIN.N0000,has_data/LFIN.N0000.json,2307,2016-01-03,2025-12-30,yes
MARA.N0000,has_data/MARA.N0000.json,2305,2016-01-03,2025-12-30,yes
BALA.N0000,has_data/BALA.N0000.json,2304,2016-01-03,2025-12-30,yes
CINV.N0000,has_data/CINV.N0000.json,2304,2016-01-03,2025-12-30,yes
VFIN.N0000,has_data/VFIN.N0000.json,2303,2016-01-03,2025-12-30,yes
GREG.N0000,has_data/GREG.N0000.json,2302,2016-01-03,2025-12-30,yes
WATA.N0000,has_data/WATA.N0000.json,2301,2016-01-03,2025-12-30,yes
AHUN.N0000,has_data/AHUN.N0000.json,2300,2016-01-03,2025-12-30,yes
RWSL.N0000,has_data/RWSL.N0000.json,2300,2016-01-03,2025-12-30,yes
SCAP.N0000,has_data/SCAP.N0000.json,2297,2016-01-04,2025-12-30,yes
SEYB.N0000,has_data/SEYB.N0000.json,2295,2016-01-03,2025-12-30,yes
TAFL.N0000,has_data/TAFL.N0000.json,2294,2016-01-03,2025-12-30,yes
CSD.N0000,has_data/CSD.N0000.json,2292,2016-01-03,2025-12-30,yes
ASIR.N0000,has_data/ASIR.N0000.json,2289,2016-01-03,2025-12-30,yes
BERU.N0000,has_data/BERU.N0000.json,2287,2016-01-03,2025-12-30,yes
REXP.N0000,has_data/REXP.N0000.json,2286,2016-01-03,2025-12-30,yes
DOCK.N0000,has_data/DOCK.N0000.json,2281,2016-01-03,2025-12-30,yes
COCR.N0000,has_data/COCR.N0000.json,2279,2016-01-03,2025-12-30,yes
SEMB.X0000,has_data/SEMB.X0000.json,2273,2016-01-03,2025-12-30,yes
HASU.N0000,has_data/HASU.N0000.json,2272,2016-01-04,2025-12-30,yes
CTC.N0000,has_data/CTC.N0000.json,2270,2016-01-04,2025-12-30,yes
AMSL.N0000,has_data/AMSL.N0000.json,2266,2016-01-03,2025-12-30,yes
SERV.N0000,has_data/SERV.N0000.json,2266,2016-01-03,2025-12-30,yes
TYRE.N0000,has_data/TYRE.N0000.json,2265,2016-01-03,2025-12-30,yes
